product_id,name,category,brand,price,description,specifications,features,rating,stock_count
33,Asus ROG Phone 8 Pro,Smartphone,Asus,23048,Sleek smartphone designed for creativity with exceptional performance and modern features.,"Display: 5.0-inch AMOLED, Storage: 1TB, RAM: 12GB, Battery: 5406mAh","Water resistant, Fast charging, High refresh rate, AMOLED display, Fingerprint, Wireless charging",4.7,16
34,Samsung Galaxy Z Flip 5,Smartphone,Samsung,35400,Versatile smartphone designed for daily use with exceptional performance and modern features.,"Display: 9.1-inch Retina, Storage: 256GB, RAM: 16GB, Battery: 5922mAh","5G, Fingerprint, Wireless charging, High refresh rate, AMOLED display, Face unlock",3.9,78
35,Oppo Reno10 Pro+,Smartphone,Oppo,67484,Versatile smartphone designed for professional work with exceptional performance and modern features.,"Display: 11.4-inch LCD, Storage: 256GB, RAM: 4GB, Battery: 5578mAh","High refresh rate, Fingerprint, Water resistant, Fast charging, AMOLED display, 5G",4.3,37
36,Razer Blade 16,Laptop,Razer,57780,High-performance laptop designed for content creation with exceptional performance and modern features.,"Display: 14.4-inch FHD, Storage: 512GB SSD, RAM: 8GB, Processor: Intel i7","Fingerprint reader, Thunderbolt, Touch screen",4.3,98
37,Razer Blade 18,Laptop,Razer,185817,High-performance laptop designed for creativity with exceptional performance and modern features.,"Display: 15.5-inch 4K, Storage: 2TB SSD, RAM: 8GB, Processor: M2","Long battery life, Wi-Fi 6, Lightweight",4.1,39
38,Dell Precision 5680,Laptop,Dell,137085,Advanced laptop designed for content creation with exceptional performance and modern features.,"Display: 15.3-inch QHD, Storage: 256GB SSD, RAM: 64GB, Processor: Intel i5","Thunderbolt, Fingerprint reader, Backlit keyboard, Dedicated graphics, Long battery life, USB-C",3.5,60
39,Infinix GT 10 Pro,Smartphone,Infinix,21011,Advanced smartphone designed for professional work with exceptional performance and modern features.,"Display: 11.5-inch OLED, Storage: 256GB, RAM: 12GB, Battery: 5119mAh","Wireless charging, Face unlock, AMOLED display, AI photography",4.2,64
40,Google Pixel 7a,Smartphone,Google,103367,High-performance smartphone designed for daily use with exceptional performance and modern features.,"Display: 6.4-inch AMOLED, Storage: 64GB, RAM: 4GB, Battery: 3149mAh","Fast charging, Wireless charging, 5G, High refresh rate, AMOLED display, Water resistant",4.7,76
41,Acer Predator Helios 16,Laptop,Acer,28262,Professional laptop designed for content creation with exceptional performance and modern features.,"Display: 16.2-inch 4K, Storage: 256GB SSD, RAM: 64GB, Processor: M1","Fingerprint reader, Long battery life, Thunderbolt, Backlit keyboard, USB-C, SSD storage",3.8,99
42,Dell Precision 5680,Laptop,Dell,24027,High-performance laptop designed for daily use with exceptional performance and modern features.,"Display: 17.0-inch FHD, Storage: 512GB SSD, RAM: 32GB, Processor: M1","Backlit keyboard, Wi-Fi 6, Lightweight, USB-C, Long battery life",4.6,39
43,Dell XPS 15 (2023),Laptop,Dell,63947,High-performance laptop designed for business with exceptional performance and modern features.,"Display: 13.1-inch QHD, Storage: 2TB SSD, RAM: 8GB, Processor: M3","USB-C, Backlit keyboard, Thunderbolt",4.4,75
44,Vivo T2 Pro,Smartphone,Vivo,118143,Professional smartphone designed for creativity with exceptional performance and modern features.,"Display: 10.3-inch LCD, Storage: 256GB, RAM: 8GB, Battery: 3276mAh","Multiple cameras, Wireless charging, Face unlock, Fast charging, AI photography, 5G",3.7,9
45,Huawei P60 Pro,Smartphone,Huawei,23386,Premium smartphone designed for gaming with exceptional performance and modern features.,"Display: 11.0-inch OLED, Storage: 128GB, RAM: 12GB, Battery: 3693mAh","Water resistant, Fingerprint, Multiple cameras, Wireless charging",4.8,68
46,MSI Titan GT77 HX,Laptop,MSI,244352,Innovative laptop designed for productivity with exceptional performance and modern features.,"Display: 13.2-inch QHD, Storage: 1TB SSD, RAM: 64GB, Processor: AMD Ryzen 5","Lightweight, SSD storage, Fingerprint reader",4.3,56
47,Apple iPhone SE (2022),Smartphone,Apple,154693,Versatile smartphone designed for creativity with exceptional performance and modern features.,"Display: 11.1-inch Retina, Storage: 128GB, RAM: 12GB, Battery: 3807mAh","Wireless charging, Face unlock, Fast charging",4.4,9
48,Dell Alienware m18,Laptop,Dell,62598,Sleek laptop designed for gaming with exceptional performance and modern features.,"Display: 13.3-inch 2K, Storage: 256GB SSD, RAM: 8GB, Processor: AMD Ryzen 5","Long battery life, USB-C, Fingerprint reader, Lightweight",4.8,97
49,Panasonic Toughbook 40,Laptop,Panasonic,106165,Cutting-edge laptop designed for daily use with exceptional performance and modern features.,"Display: 15.0-inch FHD, Storage: 1TB SSD, RAM: 32GB, Processor: Intel i5","Dedicated graphics, Touch screen, USB-C, Wi-Fi 6, SSD storage",5.0,36
50,Nokia G42,Smartphone,Nokia,216452,Versatile smartphone designed for professional work with exceptional performance and modern features.,"Display: 7.4-inch LCD, Storage: 256GB, RAM: 16GB, Battery: 3757mAh","Wireless charging, Fast charging, Water resistant, AI photography, Multiple cameras",3.6,52
51,System76 Oryx Pro,Laptop,System76,270137,Advanced laptop designed for daily use with exceptional performance and modern features.,"Display: 16.7-inch QHD, Storage: 512GB SSD, RAM: 32GB, Processor: Intel i9","Fingerprint reader, Thunderbolt, Wi-Fi 6, Long battery life, Backlit keyboard, Lightweight",3.5,10
52,HP Omen 16,Laptop,HP,101688,Innovative laptop designed for business with exceptional performance and modern features.,"Display: 13.7-inch QHD, Storage: 1TB SSD, RAM: 8GB, Processor: AMD Ryzen 5","USB-C, Dedicated graphics, Thunderbolt, Long battery life, Touch screen",3.9,65
53,Framework Laptop 13,Laptop,Framework,19129,Professional laptop designed for entertainment with exceptional performance and modern features.,"Display: 13.8-inch 2K, Storage: 512GB SSD, RAM: 8GB, Processor: Intel i9","SSD storage, Touch screen, Dedicated graphics, USB-C, Fingerprint reader",4.7,70
54,Acer Swift Edge 16,Laptop,Acer,42951,Powerful laptop designed for daily use with exceptional performance and modern features.,"Display: 16.2-inch 2K, Storage: 512GB SSD, RAM: 64GB, Processor: AMD Ryzen 9","USB-C, SSD storage, Fingerprint reader, Wi-Fi 6",3.8,21
55,Razer Blade 15,Laptop,Razer,236166,Innovative laptop designed for professional work with exceptional performance and modern features.,"Display: 16.0-inch QHD, Storage: 1TB SSD, RAM: 16GB, Processor: AMD Ryzen 9","Lightweight, Dedicated graphics, Backlit keyboard, Wi-Fi 6, SSD storage, Long battery life",3.8,21
56,Poco F5 Pro,Smartphone,Poco,203863,High-performance smartphone designed for productivity with exceptional performance and modern features.,"Display: 8.5-inch LCD, Storage: 512GB, RAM: 4GB, Battery: 4441mAh","Fingerprint, Multiple cameras, AMOLED display, Face unlock, Fast charging",3.6,96
57,LG Gram 17 (2023),Laptop,LG,123880,High-performance laptop designed for entertainment with exceptional performance and modern features.,"Display: 14.5-inch FHD, Storage: 2TB SSD, RAM: 64GB, Processor: Intel i9","Wi-Fi 6, SSD storage, Thunderbolt, Backlit keyboard, Touch screen",4.0,11
58,Samsung Galaxy M34,Smartphone,Samsung,270323,Sleek smartphone designed for creativity with exceptional performance and modern features.,"Display: 5.0-inch AMOLED, Storage: 1TB, RAM: 12GB, Battery: 5406mAh","Water resistant, Fast charging, High refresh rate, AMOLED display, Fingerprint, Wireless charging",4.9,9
59,HP Envy 16,Laptop,HP,263691,Powerful laptop designed for creativity with exceptional performance and modern features.,"Display: 14.3-inch FHD, Storage: 1TB SSD, RAM: 64GB, Processor: M2","Lightweight, Long battery life, Fingerprint reader, Backlit keyboard, Dedicated graphics",4.3,81
60,Samsung Galaxy Book3 Ultra,Laptop,Samsung,41875,Versatile laptop designed for creativity with exceptional performance and modern features.,"Display: 14.3-inch FHD, Storage: 1TB SSD, RAM: 64GB, Processor: AMD Ryzen 7","Dedicated graphics, Wi-Fi 6, SSD storage, Long battery life",4.4,71
61,Sony Xperia 5 V,Smartphone,Sony,98434,Powerful smartphone designed for content creation with exceptional performance and modern features.,"Display: 5.9-inch LCD, Storage: 256GB, RAM: 4GB, Battery: 4797mAh","High refresh rate, Water resistant, AI photography, Fingerprint, Wireless charging",4.2,62
62,Dell XPS 13 Plus,Laptop,Dell,162741,High-performance laptop designed for daily use with exceptional performance and modern features.,"Display: 15.7-inch FHD, Storage: 1TB SSD, RAM: 64GB, Processor: Intel i9","Wi-Fi 6, Long battery life, USB-C, Backlit keyboard, Lightweight",4.5,49
63,Nothing Phone (2),Smartphone,Nothing,142204,Powerful smartphone designed for daily use with exceptional performance and modern features.,"Display: 12.1-inch Retina, Storage: 1TB, RAM: 6GB, Battery: 5875mAh","Multiple cameras, AMOLED display, Fingerprint, Wireless charging, 5G, Fast charging",3.6,17
64,Lenovo ThinkPad X1 Carbon Gen 11,Laptop,Lenovo,128320,High-performance laptop designed for creativity with exceptional performance and modern features.,"Display: 15.5-inch 4K, Storage: 2TB SSD, RAM: 8GB, Processor: M2","Long battery life, Wi-Fi 6, Lightweight",4.4,25
65,Sony Xperia 1 V,Smartphone,Sony,194660,Versatile smartphone designed for gaming with exceptional performance and modern features.,"Display: 6.5-inch OLED, Storage: 64GB, RAM: 4GB, Battery: 5879mAh","Fingerprint, Multiple cameras, Wireless charging",4.9,78
66,HP Omen 16,Laptop,HP,105929,Advanced laptop designed for gaming with exceptional performance and modern features.,"Display: 15.6-inch QHD, Storage: 1TB SSD, RAM: 8GB, Processor: M1","Long battery life, Backlit keyboard, USB-C, Touch screen",3.5,35
67,Acer Swift Go 14,Laptop,Acer,37917,Sleek laptop designed for daily use with exceptional performance and modern features.,"Display: 13.2-inch QHD, Storage: 256GB SSD, RAM: 16GB, Processor: M3","Long battery life, USB-C, SSD storage, Backlit keyboard",3.9,55
68,LG Gram 17 (2023),Laptop,LG,18917,Powerful laptop designed for productivity with exceptional performance and modern features.,"Display: 16.0-inch FHD, Storage: 2TB SSD, RAM: 32GB, Processor: AMD Ryzen 7","Wi-Fi 6, Dedicated graphics, Touch screen",3.5,54
69,Dell Inspiron 15,Laptop,Dell,123832,Professional laptop designed for creativity with exceptional performance and modern features.,"Display: 15.7-inch 2K, Storage: 1TB SSD, RAM: 64GB, Processor: M2","Fingerprint reader, USB-C, Backlit keyboard",4.8,12
70,Asus Vivobook S 15 OLED,Laptop,Asus,105485,Reliable laptop designed for daily use with exceptional performance and modern features.,"Display: 14.2-inch QHD, Storage: 1TB SSD, RAM: 32GB, Processor: AMD Ryzen 9","Touch screen, Dedicated graphics, USB-C, Backlit keyboard, SSD storage",4.9,97
71,Sony Xperia 1 V,Smartphone,Sony,262574,Reliable smartphone designed for content creation with exceptional performance and modern features.,"Display: 8.8-inch OLED, Storage: 128GB, RAM: 16GB, Battery: 3680mAh","AI photography, Face unlock, Fingerprint",4.8,67
72,Gigabyte Aero 16 OLED,Laptop,Gigabyte,207052,High-performance laptop designed for content creation with exceptional performance and modern features.,"Display: 16.4-inch FHD, Storage: 1TB SSD, RAM: 64GB, Processor: AMD Ryzen 9","Touch screen, SSD storage, Long battery life",4.3,82
73,HP Pavilion Aero 13,Laptop,HP,39906,Sleek laptop designed for creativity with exceptional performance and modern features.,"Display: 13.9-inch QHD, Storage: 256GB SSD, RAM: 64GB, Processor: M2","Wi-Fi 6, Long battery life, USB-C",3.5,13
74,Oppo Find X7 Ultra,Smartphone,Oppo,94510,Professional smartphone designed for daily use with exceptional performance and modern features.,"Display: 9.2-inch LCD, Storage: 64GB, RAM: 8GB, Battery: 4252mAh","Wireless charging, AI photography, Fingerprint, Face unlock, Fast charging, Water resistant",3.9,69
75,Nokia G42,Smartphone,Nokia,285940,Sleek smartphone designed for creativity with exceptional performance and modern features.,"Display: 10.9-inch LCD, Storage: 512GB, RAM: 4GB, Battery: 4032mAh","Wireless charging, Fast charging, Multiple cameras",4.0,83
76,Oppo Reno10 Pro+,Smartphone,Oppo,165103,Innovative smartphone designed for content creation with exceptional performance and modern features.,"Display: 10.7-inch Retina, Storage: 128GB, RAM: 8GB, Battery: 3377mAh","AI photography, Wireless charging, Water resistant",4.1,86
77,Microsoft Surface Pro 9,Laptop,Microsoft,57876,Powerful laptop designed for daily use with exceptional performance and modern features.,"Display: 16.2-inch 2K, Storage: 512GB SSD, RAM: 64GB, Processor: AMD Ryzen 9","USB-C, SSD storage, Fingerprint reader, Wi-Fi 6",3.9,97
78,Realme 11 Pro+,Smartphone,Realme,238218,Versatile smartphone designed for daily use with exceptional performance and modern features.,"Display: 6.9-inch OLED, Storage: 64GB, RAM: 4GB, Battery: 5973mAh","Fast charging, AMOLED display, Fingerprint, Face unlock, Wireless charging, Water resistant",3.6,5
79,Microsoft Surface Laptop Studio 2,Laptop,Microsoft,36446,Professional laptop designed for business with exceptional performance and modern features.,"Display: 13.6-inch QHD, Storage: 2TB SSD, RAM: 8GB, Processor: AMD Ryzen 7","Fingerprint reader, Dedicated graphics, Long battery life, Thunderbolt, USB-C",4.4,49
80,Razer Blade 16,Laptop,Razer,234203,Powerful laptop designed for business with exceptional performance and modern features.,"Display: 16.6-inch 2K, Storage: 2TB SSD, RAM: 8GB, Processor: Intel i9","Wi-Fi 6, Dedicated graphics, Backlit keyboard, SSD storage, Touch screen",3.6,12
81,Acer Swift Edge 16,Laptop,Acer,280818,Powerful laptop designed for entertainment with exceptional performance and modern features.,"Display: 13.7-inch 4K, Storage: 512GB SSD, RAM: 64GB, Processor: Intel i5","Lightweight, USB-C, Backlit keyboard, Dedicated graphics, Touch screen, Fingerprint reader",3.8,55
82,Apple MacBook Air 15-inch (M2),Laptop,Apple,274507,High-performance laptop designed for professional work with exceptional performance and modern features.,"Display: 13.6-inch 4K, Storage: 512GB SSD, RAM: 32GB, Processor: Intel i9","Fingerprint reader, Touch screen, Backlit keyboard",4.8,86
83,OnePlus 11R,Smartphone,OnePlus,261135,High-performance smartphone designed for entertainment with exceptional performance and modern features.,"Display: 9.0-inch OLED, Storage: 64GB, RAM: 8GB, Battery: 4645mAh","Face unlock, Water resistant, 5G, High refresh rate, AMOLED display",3.8,53
84,Oppo Find X7 Ultra,Smartphone,Oppo,173500,Cutting-edge smartphone designed for professional work with exceptional performance and modern features.,"Display: 8.6-inch Retina, Storage: 64GB, RAM: 6GB, Battery: 5759mAh","Face unlock, 5G, Multiple cameras, Fast charging, Water resistant",5.0,89
85,Tecno Phantom V Fold,Smartphone,Tecno,74295,Advanced smartphone designed for daily use with exceptional performance and modern features.,"Display: 12.8-inch AMOLED, Storage: 512GB, RAM: 16GB, Battery: 3424mAh","Fingerprint, High refresh rate, Water resistant, Wireless charging",3.6,99
86,Apple iPhone 15 Pro Max,Smartphone,Apple,246013,Powerful smartphone designed for professional work with exceptional performance and modern features.,"Display: 8.1-inch OLED, Storage: 512GB, RAM: 4GB, Battery: 5238mAh","AMOLED display, Multiple cameras, Water resistant, 5G",4.2,73
87,Razer Blade 18,Laptop,Razer,39663,Professional laptop designed for gaming with exceptional performance and modern features.,"Display: 17.2-inch 2K, Storage: 512GB SSD, RAM: 16GB, Processor: M3","Long battery life, Thunderbolt, Dedicated graphics, USB-C, Lightweight",4.3,19
88,Samsung Galaxy A54,Smartphone,Samsung,172972,Versatile smartphone designed for daily use with exceptional performance and modern features.,"Display: 6.9-inch OLED, Storage: 64GB, RAM: 4GB, Battery: 5973mAh","Fast charging, AMOLED display, Fingerprint, Face unlock, Wireless charging, Water resistant",4.9,17
89,Samsung Galaxy A54,Smartphone,Samsung,208369,Advanced smartphone designed for gaming with exceptional performance and modern features.,"Display: 12.0-inch OLED, Storage: 512GB, RAM: 4GB, Battery: 5552mAh","High refresh rate, Fast charging, AI photography, AMOLED display",4.6,64
90,Dell XPS 13 Plus,Laptop,Dell,283499,Premium laptop designed for gaming with exceptional performance and modern features.,"Display: 16.8-inch FHD, Storage: 512GB SSD, RAM: 64GB, Processor: Intel i7","Fingerprint reader, Long battery life, Touch screen, SSD storage, Lightweight",4.3,8
91,Nothing Phone (1),Smartphone,Nothing,251090,Innovative smartphone designed for gaming with exceptional performance and modern features.,"Display: 5.4-inch LCD, Storage: 128GB, RAM: 4GB, Battery: 4830mAh","High refresh rate, Fast charging, Multiple cameras, 5G, AMOLED display",4.6,51
92,Microsoft Surface Laptop Go 3,Laptop,Microsoft,97677,Sleek laptop designed for creativity with exceptional performance and modern features.,"Display: 13.9-inch QHD, Storage: 256GB SSD, RAM: 64GB, Processor: M2","Wi-Fi 6, Long battery life, USB-C",4.9,42
93,Infinix GT 10 Pro,Smartphone,Infinix,75070,Sleek smartphone designed for creativity with exceptional performance and modern features.,"Display: 5.0-inch AMOLED, Storage: 1TB, RAM: 12GB, Battery: 5406mAh","Water resistant, Fast charging, High refresh rate, AMOLED display, Fingerprint, Wireless charging",4.1,68
94,Razer Blade 16,Laptop,Razer,292119,Cutting-edge laptop designed for professional work with exceptional performance and modern features.,"Display: 16.1-inch 4K, Storage: 1TB SSD, RAM: 64GB, Processor: AMD Ryzen 7","Long battery life, Lightweight, Touch screen, USB-C, Backlit keyboard",3.9,56
95,Microsoft Surface Laptop Go 3,Laptop,Microsoft,88085,Advanced laptop designed for business with exceptional performance and modern features.,"Display: 17.1-inch QHD, Storage: 256GB SSD, RAM: 32GB, Processor: Intel i5","Wi-Fi 6, Touch screen, USB-C",4.5,88
96,Dell Precision 5680,Laptop,Dell,28648,Versatile laptop designed for business with exceptional performance and modern features.,"Display: 13.4-inch FHD, Storage: 1TB SSD, RAM: 64GB, Processor: M1","Dedicated graphics, Touch screen, Wi-Fi 6, Backlit keyboard",4.7,35
97,Razer Blade 14,Laptop,Razer,220093,Powerful laptop designed for creativity with exceptional performance and modern features.,"Display: 14.3-inch FHD, Storage: 1TB SSD, RAM: 64GB, Processor: M2","Lightweight, Long battery life, Fingerprint reader, Backlit keyboard, Dedicated graphics",5.0,29
98,Razer Blade 15,Laptop,Razer,296058,Professional laptop designed for business with exceptional performance and modern features.,"Display: 14.0-inch FHD, Storage: 512GB SSD, RAM: 8GB, Processor: Intel i9","USB-C, Thunderbolt, Long battery life, Backlit keyboard, Wi-Fi 6",4.7,22
99,Apple iPhone SE (2022),Smartphone,Apple,221885,Professional smartphone designed for business with exceptional performance and modern features.,"Display: 11.7-inch LCD, Storage: 256GB, RAM: 12GB, Battery: 5470mAh","High refresh rate, Wireless charging, AMOLED display, 5G",3.7,45
100,Samsung Galaxy S24 Ultra,Smartphone,Samsung,205580,Sleek smartphone designed for daily use with exceptional performance and modern features.,"Display: 10.1-inch OLED, Storage: 256GB, RAM: 6GB, Battery: 4149mAh","Water resistant, Fingerprint, Fast charging, High refresh rate, Wireless charging",3.5,50
101,Google Pixel 8 Pro,Smartphone,Google,281916,Sleek smartphone designed for business with exceptional performance and modern features.,"Display: 12.6-inch Retina, Storage: 512GB, RAM: 12GB, Battery: 5905mAh","5G, Fast charging, Water resistant, Wireless charging, High refresh rate, Fingerprint",4.9,77
